,0
2018-04-14,0.18
2018-04-15,0.49
2018-04-16,0.3
2018-04-17,0.2
2018-04-18,0.26
2018-04-19,0.3
2018-04-20,0.26
2018-04-21,0.36
2018-04-22,0.84
2018-04-23,0.34
2018-04-24,0.31
2018-04-25,0.3
2018-04-26,0.17
2018-04-27,0.26
2018-04-28,0.54
2018-04-29,0.47
2018-04-30,0.63
2018-05-01,0.2
2018-05-02,0.32
2018-05-03,0.36
2018-05-04,0.45
2018-05-05,0.44
2018-05-06,0.2
2018-05-07,0.24
2018-05-08,0.31
2018-05-09,0.33
2018-05-10,0.41
2018-05-11,0.22
2018-05-12,0.34
2018-05-13,0.67
2018-05-14,0.58
2018-05-15,0.56
2018-05-16,0.3
2018-05-17,0.29
2018-05-18,0.12
2018-05-19,0.31
2018-05-20,0.32
2018-05-21,0.26
2018-05-22,0.28
2018-05-23,0.27
2018-05-24,0.26
2018-05-25,0.24
2018-05-26,0.27
2018-05-27,0.27
2018-05-28,0.33
2018-05-29,0.26
2018-05-30,0.24
2018-05-31,0.18
2018-06-01,0.15
2018-06-02,0.17
2018-06-03,0.17
2018-06-04,0.12
2018-06-05,0.13
2018-06-06,0.16
2018-06-07,0.25
2018-06-08,0.25
2018-06-09,0.21
2018-06-10,0.17
2018-06-11,0.11
2018-06-12,0.08
2018-06-13,0.06
2018-06-14,0.08
2018-06-15,0.14
2018-06-16,0.19
2018-06-17,0.19
2018-06-18,0.09
2018-06-19,0.22
2018-06-20,0.17
2018-06-21,0.18
2018-06-22,0.05
2018-06-23,0.08
2018-06-24,0.07
2018-06-25,0.06
2018-06-26,0.08
2018-06-27,0.13
2018-06-28,0.25
2018-06-29,0.24
2018-06-30,0.11
2018-07-01,0.08
2018-07-02,0.11
2018-07-03,0.23
2018-07-04,0.3
2018-07-05,0.23
2018-07-06,0.08
2018-07-07,0.11
2018-07-08,0.09
2018-07-09,0.26
2018-07-10,0.08
2018-07-11,0.12
2018-07-12,0.18
2018-07-13,0.14
2018-07-14,0.12
2018-07-15,0.11
2018-07-16,0.14
2018-07-17,0.19
2018-07-18,0.17
2018-07-19,0.13
2018-07-20,0.18
2018-07-21,0.24
2018-07-22,0.21
2018-07-23,0.2
2018-07-24,0.18
2018-07-25,0.16
2018-07-26,0.16
2018-07-27,0.2
2018-07-28,0.35
2018-07-29,0.11
2018-07-30,0.14
2018-07-31,0.2
2018-08-01,0.19
2018-08-02,0.18
2018-08-03,0.2
2018-08-04,0.18
2018-08-05,0.08
2018-08-06,0.1
2018-08-07,0.17
2018-08-08,0.18
2018-08-09,0.18
2018-08-10,0.07
2018-08-11,0.09
2018-08-12,0.11
2018-08-13,0.16
2018-08-14,0.1
2018-08-15,0.13
2018-08-16,0.19
2018-08-17,0.24
2018-08-18,0.12
2018-08-19,0.16
2018-08-20,0.17
2018-08-21,0.08
2018-08-22,0.14
2018-08-23,0.15
2018-08-24,0.2
2018-08-25,0.15
2018-08-26,0.1
2018-08-27,0.25
2018-08-28,0.16
2018-08-29,0.27
2018-08-30,0.19
2018-08-31,0.1
2018-09-01,0.2
2018-09-02,0.22
2018-09-03,0.52
2018-09-04,0.44
2018-09-05,0.25
2018-09-06,0.37
2018-09-07,0.2
2018-09-08,0.17
2018-09-09,0.29
2018-09-10,0.3
2018-09-11,0.26
2018-09-12,0.29
2018-09-13,0.09
2018-09-14,0.19
2018-09-15,0.27
2018-09-16,0.29
2018-09-17,0.37
2018-09-18,0.38
2018-09-19,0.48
2018-09-20,0.31
2018-09-21,0.5
2018-09-22,0.13
2018-09-23,0.11
2018-09-24,0.07
2018-09-25,0.19
2018-09-26,0.3
2018-09-27,0.32
2018-09-28,0.4
2018-09-29,0.27
2018-09-30,0.32
2018-10-01,0.29
2018-10-02,0.18
2018-10-03,0.15
2018-10-04,0.45
2018-10-05,0.42
2018-10-06,0.78
2018-10-07,0.43
2018-10-08,0.19
2018-10-09,0.51
2018-10-10,0.71
2018-10-11,0.77
2018-10-12,0.75
2018-10-13,0.81
2018-10-14,0.9
2018-10-15,0.95
2018-10-16,1.22
2018-10-17,0.92
2018-10-18,0.6
2018-10-19,0.3
2018-10-20,0.46
2018-10-21,0.45
2018-10-22,0.51
2018-10-23,0.23
2018-10-24,0.13
2018-10-25,0.11
2018-10-26,0.2
2018-10-27,0.32
2018-10-28,0.19
2018-10-29,0.25
2018-10-30,0.46
2018-10-31,0.44
2018-11-01,1.36
2018-11-02,0.68
2018-11-03,0.61
2018-11-04,0.48
2018-11-05,0.59
2018-11-06,0.45
2018-11-07,0.5
2018-11-08,0.53
2018-11-09,0.47
2018-11-10,0.51
2018-11-11,0.37
2018-11-12,0.53
2018-11-13,0.45
2018-11-14,0.37
2018-11-15,0.87
2018-11-16,0.85
2018-11-17,0.8
2018-11-18,1.15
2018-11-19,0.35
2018-11-20,0.66
2018-11-21,0.81
2018-11-22,0.84
2018-11-23,1.1
2018-11-24,1.8
2018-11-25,1.05
2018-11-26,0.62
2018-11-27,0.48
2018-11-28,1.05
2018-11-29,1.14
2018-11-30,0.57
2018-12-01,0.62
2018-12-02,0.33
2018-12-03,0.18
2018-12-04,0.22
2018-12-05,0.55
2018-12-06,0.53
2018-12-07,0.22
2018-12-08,0.12
2018-12-09,0.09
2018-12-10,0.08
2018-12-11,0.07
2018-12-12,0.26
2018-12-13,0.47
2018-12-14,0.5
2018-12-15,0.67
2018-12-16,0.46
2018-12-17,0.49
2018-12-18,0.45
2018-12-19,0.66
2018-12-20,0.59
2018-12-21,0.18
2018-12-22,0.2
2018-12-23,0.29
2018-12-24,0.12
2018-12-25,0.17
2018-12-26,0.19
2018-12-27,0.38
2018-12-28,0.45
2018-12-29,0.39
2018-12-30,0.13
2018-12-31,0.28
2019-01-01,0.16
2019-01-02,0.08
2019-01-03,0.28
2019-01-04,0.32
2019-01-05,0.09
2019-01-06,0.18
2019-01-07,0.2
2019-01-08,0.12
2019-01-09,0.07
2019-01-10,0.14
2019-01-11,0.34
2019-01-12,0.18
2019-01-13,0.15
2019-01-14,0.06
2019-01-15,0.19
2019-01-16,0.24
2019-01-17,0.25
2019-01-18,0.32
2019-01-19,0.91
2019-01-20,1.15
2019-01-21,1.07
2019-01-22,0.87
2019-01-23,1.63
2019-01-24,0.57
2019-01-25,0.61
2019-01-26,0.45
2019-01-27,0.28
2019-01-28,0.35
2019-01-29,0.42
2019-01-30,0.63
2019-01-31,0.42
2019-02-01,0.56
2019-02-02,1.01
2019-02-03,0.54
2019-02-04,0.34
2019-02-05,0.45
2019-02-06,0.44
2019-02-07,0.45
2019-02-08,0.34
2019-02-09,0.2
2019-02-10,0.17
2019-02-11,0.1
2019-02-12,0.14
2019-02-13,0.32
2019-02-14,0.5
2019-02-15,0.86
2019-02-16,0.97
2019-02-17,0.94
2019-02-18,0.75
2019-02-19,0.54
2019-02-20,0.35
2019-02-21,0.38
2019-02-22,0.29
2019-02-23,0.79
2019-02-24,1.06
2019-02-25,1.21
2019-02-26,0.76
2019-02-27,0.93
2019-02-28,0.52
2019-03-01,0.35
2019-03-02,0.26
2019-03-03,0.25
2019-03-04,0.28
2019-03-05,0.21
2019-03-06,0.28
2019-03-07,0.34
2019-03-08,0.17
2019-03-09,0.15
2019-03-10,0.14
2019-03-11,0.12
2019-03-12,0.15
2019-03-13,0.12
2019-03-14,0.12
2019-03-15,0.13
2019-03-16,0.15
2019-03-17,0.2
2019-03-18,0.12
2019-03-19,0.21
2019-03-20,0.41
2019-03-21,0.42
2019-03-22,0.77
2019-03-23,0.45
2019-03-24,0.37
2019-03-25,0.22
2019-03-26,0.12
2019-03-27,0.14
2019-03-28,0.22
2019-03-29,0.2
2019-03-30,0.43
2019-03-31,0.42
2019-04-01,0.35
2019-04-02,0.7
2019-04-03,0.55
2019-04-04,0.36
2019-04-05,0.33
2019-04-06,0.6
2019-04-07,0.72
2019-04-08,0.82
2019-04-09,0.44
2019-04-10,0.34
2019-04-11,0.29
2019-04-12,0.31
2019-04-13,0.4
2019-04-14,0.42
2019-04-15,0.46
2019-04-16,0.62
2019-04-17,0.69
2019-04-18,0.78
2019-04-19,1.06
2019-04-20,0.71
2019-04-21,0.72
2019-04-22,0.43
2019-04-23,0.57
2019-04-24,0.24
2019-04-25,0.13
2019-04-26,0.29
2019-04-27,0.16
2019-04-28,0.11
2019-04-29,0.15
2019-04-30,0.28
2019-05-01,0.32
2019-05-02,0.17
2019-05-03,0.12
2019-05-04,0.16
2019-05-05,0.16
2019-05-06,0.12
2019-05-07,0.15
2019-05-08,0.42
2019-05-09,0.15
2019-05-10,0.15
2019-05-11,0.23
2019-05-12,0.18
2019-05-13,0.21
2019-05-14,0.16
2019-05-15,0.17
2019-05-16,0.1
2019-05-17,0.21
2019-05-18,0.25
2019-05-19,0.27
2019-05-20,0.18
2019-05-21,0.15
2019-05-22,0.11
2019-05-23,0.13
2019-05-24,0.19
2019-05-25,0.24
2019-05-26,0.22
2019-05-27,0.17
2019-05-28,0.15
2019-05-29,0.1
2019-05-30,0.15
2019-05-31,0.24
2019-06-01,0.24
2019-06-02,0.26
2019-06-03,0.18
2019-06-04,0.12
2019-06-05,0.19
2019-06-06,0.17
2019-06-07,0.11
2019-06-08,0.1
2019-06-09,0.19
2019-06-10,0.19
2019-06-11,0.12
2019-06-12,0.11
2019-06-13,0.11
2019-06-14,0.16
2019-06-15,0.24
2019-06-16,0.09
2019-06-17,0.17
2019-06-18,0.15
2019-06-19,0.2
2019-06-20,0.12
2019-06-21,0.11
2019-06-22,0.18
2019-06-23,0.13
2019-06-24,0.14
2019-06-25,0.2
2019-06-26,0.29
2019-06-27,0.06
2019-06-28,0.08
2019-06-29,0.2
2019-06-30,0.22
2019-07-01,0.56
2019-07-02,0.18
2019-07-03,0.09
2019-07-04,0.1
2019-07-05,0.15
2019-07-06,0.17
2019-07-07,0.05
2019-07-08,0.11
2019-07-09,0.07
2019-07-10,0.1
2019-07-11,0.22
2019-07-12,0.11
2019-07-13,0.11
2019-07-14,0.1
2019-07-15,0.07
2019-07-16,0.07
2019-07-17,0.07
2019-07-18,0.11
2019-07-19,0.2
2019-07-20,0.18
2019-07-21,0.09
2019-07-22,0.13
2019-07-23,0.14
2019-07-24,0.18
2019-07-25,0.18
2019-07-26,0.18
2019-07-27,0.24
2019-07-28,0.18
2019-07-29,0.2
2019-07-30,0.16
2019-07-31,0.12
2019-08-01,0.13
2019-08-02,0.15
2019-08-03,0.11
2019-08-04,0.12
2019-08-05,0.13
2019-08-06,0.19
2019-08-07,0.12
2019-08-08,0.14
2019-08-09,0.13
2019-08-10,0.23
2019-08-11,0.13
2019-08-12,0.11
2019-08-13,0.08
2019-08-14,0.1
2019-08-15,0.12
2019-08-16,0.29
2019-08-17,0.18
2019-08-18,0.11
2019-08-19,0.07
2019-08-20,0.16
2019-08-21,0.15
2019-08-22,0.18
2019-08-23,0.24
2019-08-24,0.3
2019-08-25,0.27
2019-08-26,0.25
2019-08-27,0.24
2019-08-28,0.19
2019-08-29,0.27
2019-08-30,0.18
2019-08-31,0.23
2019-09-01,0.25
2019-09-02,0.11
2019-09-03,0.22
2019-09-04,0.21
2019-09-05,0.09
2019-09-06,0.09
2019-09-07,0.26
2019-09-08,0.22
2019-09-09,0.13
2019-09-10,0.16
2019-09-11,0.23
2019-09-12,0.19
2019-09-13,0.19
2019-09-14,0.17
2019-09-15,0.3
2019-09-16,0.12
2019-09-17,0.17
2019-09-18,0.14
2019-09-19,0.24
2019-09-20,0.31
2019-09-21,0.46
2019-09-22,0.56
2019-09-23,0.38
2019-09-24,0.18
2019-09-25,0.27
2019-09-26,0.23
2019-09-27,0.19
2019-09-28,0.17
2019-09-29,0.16
2019-09-30,0.11
2019-10-01,0.17
2019-10-02,0.19
2019-10-03,0.51
2019-10-04,0.27
2019-10-05,0.25
2019-10-06,0.3
2019-10-07,0.45
2019-10-08,0.3
2019-10-09,0.17
2019-10-10,0.15
2019-10-11,0.22
2019-10-12,0.39
2019-10-13,0.33
2019-10-14,0.43
2019-10-15,0.53
2019-10-16,0.21
2019-10-17,0.26
2019-10-18,0.26
2019-10-19,0.34
2019-10-20,0.27
2019-10-21,0.57
2019-10-22,0.72
2019-10-23,0.51
2019-10-24,0.6
2019-10-25,0.48
2019-10-26,0.35
2019-10-27,0.31
2019-10-28,0.28
2019-10-29,0.37
2019-10-30,0.6
2019-10-31,1.24
2019-11-01,0.83
2019-11-02,0.28
2019-11-03,0.41
2019-11-04,0.27
2019-11-05,0.26
2019-11-06,0.29
2019-11-07,0.29
2019-11-08,0.53
2019-11-09,0.46
2019-11-10,0.64
2019-11-11,0.57
2019-11-12,0.41
2019-11-13,0.47
2019-11-14,0.43
2019-11-15,0.82
2019-11-16,0.65
2019-11-17,0.75
2019-11-18,0.64
2019-11-19,0.29
2019-11-20,0.22
2019-11-21,1.05
2019-11-22,0.68
2019-11-23,0.34
2019-11-24,0.9
2019-11-25,0.99
2019-11-26,0.52
2019-11-27,0.47
2019-11-28,0.21
2019-11-29,0.15
2019-11-30,0.7
2019-12-01,1.25
2019-12-02,0.53
2019-12-03,0.45
2019-12-04,0.51
2019-12-05,0.92
2019-12-06,0.58
2019-12-07,0.25
2019-12-08,0.18
2019-12-09,0.13
2019-12-10,0.25
2019-12-11,0.54
2019-12-12,0.41
2019-12-13,0.64
2019-12-14,0.16
2019-12-15,0.23
2019-12-16,0.61
2019-12-17,0.8
2019-12-18,0.69
2019-12-19,1.24
2019-12-20,0.8
2019-12-21,0.6
2019-12-22,0.88
2019-12-23,0.27
2019-12-24,0.23
2019-12-25,0.16
2019-12-26,0.41
2019-12-27,0.33
2019-12-28,0.26
2019-12-29,0.65
2019-12-30,0.53
2019-12-31,0.5
